Plant name:,Soil moisture level,Nitrogen level,Soil compaction,Soil type,Soil temp,Best time to plant,Best time to harvest,Best climate
Chinese cabbage,"Chinese cabbage prefers consistent soil moisture, but can tolerate drought.",Chinese cabbage requires a high amount of nitrogen.,"Chinese cabbage prefers well-drained, loose soil.","Chinese cabbage prefers well-drained, fertile soil.",Chinese cabbage prefers cool soil temperatures between 60-70F (15-21C) for optimal growth.,Chinese cabbage is typically planted in the spring or fall.,Chinese cabbage is typically harvested when the heads are mature and firm.,"Chinese cabbage prefers cool, temperate climates with consistent moisture."
Tatsoi,Tatsoi prefers consistent soil moisture.,Tatsoi requires a moderate amount of nitrogen.,"Tatsoi prefers well-drained, loose soil.","Tatsoi prefers well-drained, fertile soil.",Tatsoi prefers cool soil temperatures between 50-60F (10-15C) for optimal growth.,Tatsoi is typically planted in the early spring or fall.,Tatsoi is typically harvested when the leaves are young and tender.,"Tatsoi prefers cool, temperate climates with consistent moisture."
Mache,Mache prefers consistent soil moisture.,Mache requires a moderate amount of nitrogen.,"Mache prefers well-drained, loose soil.","Mache prefers well-drained, fertile soil.",Mache prefers cool soil temperatures between 45-55F (7-13C) for optimal growth.,Mache is typically planted in the fall or early winter.,Mache is typically harvested when the leaves are tender and young.,"Mache prefers cool, temperate climates with consistent moisture."
Broccoflower,Broccoflower prefers consistent soil moisture.,Broccoflower requires a moderate amount of nitrogen.,"Broccoflower prefers well-drained, loose soil.","Broccoflower prefers well-drained, fertile soil.",Broccoflower prefers cool soil temperatures between 60-70F (15-21C) for optimal growth.,Broccoflower is typically planted in the spring or fall.,Broccoflower is typically harvested when the heads are mature and firm.,"Broccoflower prefers cool, temperate climates with consistent moisture."
Romanesco broccoli,Romanesco broccoli prefers consistent soil moisture.,Romanesco broccoli requires a moderate amount of nitrogen.,"Romanesco broccoli prefers well-drained, loose soil.","Romanesco broccoli prefers well-drained, fertile soil.",Romanesco broccoli prefers cool soil temperatures between 60-70F (15-21C) for optimal growth.,Romanesco broccoli is typically planted in the spring or fall.,Romanesco broccoli is typically harvested when the heads are mature and firm.,"Romanesco broccoli prefers cool, temperate climates with consistent moisture."
Okra,Okra prefers consistent soil moisture.,Okra requires a moderate amount of nitrogen.,"Okra prefers well-drained, loose soil.","Okra prefers well-drained, fertile soil.",Okra prefers warm soil temperatures between 75-90F (24-32C) for optimal growth.,Okra is typically planted in the spring after the last frost date.,Okra is typically harvested when the pods are 3-4 inches long.,"Okra prefers warm, humid climates with consistent moisture."
Tomatillos,"Tomatillos prefer consistent soil moisture, but can tolerate drought.",Tomatillos require a moderate amount of nitrogen.,"Tomatillos prefer well-drained, loose soil.","Tomatillos prefer well-drained, fertile soil.",Tomatillos prefer warm soil temperatures between 70-85F (21-29C) for optimal growth.,Tomatillos are typically planted in the spring after the last frost date.,Tomatillos are typically harvested when the fruits are firm and green.,"Tomatillos prefer warm, dry climates with consistent moisture."
Yardlong beans,Yardlong beans prefer consistent soil moisture.,Yardlong beans require a moderate amount of nitrogen.,"Yardlong beans prefer well-drained, loose soil.","Yardlong beans prefer well-drained, fertile soil.",Yardlong beans prefer warm soil temperatures between 70-85F (21-29C) for optimal growth.,Yardlong beans are typically planted in the spring after the last frost date.,Yardlong beans are typically harvested when the pods are 12-18 inches long.,"Yardlong beans prefer warm, humid climates with consistent moisture."
Malabar spinach,Malabar spinach prefers consistent soil moisture.,Malabar spinach requires a moderate amount of nitrogen.,"Malabar spinach prefers well-drained, loose soil.","Malabar spinach prefers well-drained, fertile soil.",Malabar spinach prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Malabar spinach is typically planted in the spring or summer.,Malabar spinach is typically harvested when the leaves are young and tender.,"Malabar spinach prefers warm, humid climates with consistent moisture."
Napa cabbage,Napa cabbage prefers consistent soil moisture.,Napa cabbage requires a high amount of nitrogen.,"Napa cabbage prefers well-drained, loose soil.","Napa cabbage prefers well-drained, fertile soil.",Napa cabbage prefers cool soil temperatures between 60-70F (15-21C) for optimal growth.,Napa cabbage is typically planted in the spring or fall.,Napa cabbage is typically harvested when the heads are mature and firm.,"Napa cabbage prefers cool, temperate climates with consistent moisture."
Bitter melon,Bitter melon prefers consistent soil moisture.,Bitter melon requires a moderate amount of nitrogen.,"Bitter melon prefers well-drained, loose soil.","Bitter melon prefers well-drained, fertile soil.",Bitter melon prefers warm soil temperatures between 70-90F (21-32C) for optimal growth.,Bitter melon is typically planted in the spring after the last frost date.,Bitter melon is typically harvested when the fruits are green and firm.,"Bitter melon prefers warm, humid climates with consistent moisture."
Chayote,Chayote prefers consistent soil moisture.,Chayote requires a moderate amount of nitrogen.,"Chayote prefers well-drained, loose soil.","Chayote prefers well-drained, fertile soil.",Chayote prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Chayote is typically planted in the spring after the last frost date.,Chayote is typically harvested when the fruits are mature and firm.,"Chayote prefers warm, humid climates with consistent moisture."
Amaranth,Amaranth prefers consistent soil moisture.,Amaranth requires a moderate amount of nitrogen.,"Amaranth prefers well-drained, loose soil.","Amaranth prefers well-drained, fertile soil.",Amaranth prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Amaranth is typically planted in the spring after the last frost date.,Amaranth is typically harvested when the leaves are young and tender.,"Amaranth prefers warm, humid climates with consistent moisture."
Purslane,Purslane prefers consistent soil moisture.,Purslane requires a moderate amount of nitrogen.,"Purslane prefers well-drained, loose soil.","Purslane prefers well-drained, fertile soil.",Purslane prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Purslane is typically planted in the spring or fall.,Purslane is typically harvested when the leaves are young and tender.,"Purslane prefers warm, humid climates with consistent moisture."
Moringa,Moringa prefers consistent soil moisture.,Moringa requires a moderate amount of nitrogen.,"Moringa prefers well-drained, loose soil.","Moringa prefers well-drained, fertile soil.",Moringa prefers warm soil temperatures between 75-90F (24-32C) for optimal growth.,Moringa is typically planted in the spring after the last frost date.,Moringa is typically harvested when the leaves are young and tender.,"Moringa prefers warm, humid climates with consistent moisture."
Kabocha squash,Kabocha squash prefers consistent soil moisture.,Kabocha squash requires a moderate amount of nitrogen.,"Kabocha squash prefers well-drained, loose soil.","Kabocha squash prefers well-drained, fertile soil.",Kabocha squash prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Kabocha squash is typically planted in the spring after the last frost date.,Kabocha squash is typically harvested when the fruits are mature and firm.,"Kabocha squash prefers warm, sunny climates with consistent moisture."
Spaghetti squash,Spaghetti squash prefers consistent soil moisture.,Spaghetti squash requires a moderate amount of nitrogen.,"Spaghetti squash prefers well-drained, loose soil.","Spaghetti squash prefers well-drained, fertile soil.",Spaghetti squash prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Spaghetti squash is typically planted in the spring after the last frost date.,Spaghetti squash is typically harvested when the fruits are mature and firm.,"Spaghetti squash prefers warm, sunny climates with consistent moisture."
Acorn squash,Acorn squash prefers consistent soil moisture.,Acorn squash requires a moderate amount of nitrogen.,"Acorn squash prefers well-drained, loose soil.","Acorn squash prefers well-drained, fertile soil.",Acorn squash prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Acorn squash is typically planted in the spring after the last frost date.,Acorn squash is typically harvested when the fruits are mature and firm.,"Acorn squash prefers warm, sunny climates with consistent moisture."
Butternut squash,Butternut squash prefers consistent soil moisture.,Butternut squash requires a moderate amount of nitrogen.,"Butternut squash prefers well-drained, loose soil.","Butternut squash prefers well-drained, fertile soil.",Butternut squash prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Butternut squash is typically planted in the spring after the last frost date.,Butternut squash is typically harvested when the fruits are mature and the skin is hard.,"Butternut squash prefers warm, sunny climates with consistent moisture."
Delicata squash,Delicata squash prefers consistent soil moisture.,Delicata squash requires a moderate amount of nitrogen.,"Delicata squash prefers well-drained, loose soil.","Delicata squash prefers well-drained, fertile soil.",Delicata squash prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Delicata squash is typically planted in the spring after the last frost date.,Delicata squash is typically harvested when the fruits are mature and the skin is hard.,"Delicata squash prefers warm, sunny climates with consistent moisture."
Belgian endive,Belgian endive prefers consistent soil moisture.,Belgian endive requires a moderate amount of nitrogen.,"Belgian endive prefers well-drained, loose soil.","Belgian endive prefers well-drained, fertile soil.",Belgian endive prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Belgian endive is typically planted in the summer.,Belgian endive is typically harvested when the leaves are mature and firm.,"Belgian endive prefers cool, temperate climates with consistent moisture."
Broccoli rabe,Broccoli rabe prefers consistent soil moisture.,Broccoli rabe requires a moderate amount of nitrogen.,"Broccoli rabe prefers well-drained, loose soil.","Broccoli rabe prefers well-drained, fertile soil.",Broccoli rabe prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Broccoli rabe is typically planted in the spring or fall.,Broccoli rabe is typically harvested when the leaves are young and tender.,"Broccoli rabe prefers cool, temperate climates with consistent moisture."
Caraflex cabbage,Caraflex cabbage prefers consistent soil moisture.,Caraflex cabbage requires a moderate amount of nitrogen.,"Caraflex cabbage prefers well-drained, loose soil.","Caraflex cabbage prefers well-drained, fertile soil.",Caraflex cabbage prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Caraflex cabbage is typically planted in the spring or fall.,Caraflex cabbage is typically harvested when the heads are mature and firm.,"Caraflex cabbage prefers cool, temperate climates with consistent moisture."
Chinese broccoli,Chinese broccoli prefers consistent soil moisture.,Chinese broccoli requires a moderate amount of nitrogen.,"Chinese broccoli prefers well-drained, loose soil.","Chinese broccoli prefers well-drained, fertile soil.",Chinese broccoli prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Chinese broccoli is typically planted in the spring or fall.,Chinese broccoli is typically harvested when the leaves and stems are young and tender.,"Chinese broccoli prefers cool, temperate climates with consistent moisture."
Chrysanthemum greens,Chrysanthemum greens prefer consistent soil moisture.,Chrysanthemum greens require a moderate amount of nitrogen.,"Chrysanthemum greens prefer well-drained, loose soil.","Chrysanthemum greens prefer well-drained, fertile soil.",Chrysanthemum greens prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Chrysanthemum greens are typically planted in the spring or fall.,Chrysanthemum greens are typically harvested when the leaves are young and tender.,"Chrysanthemum greens prefer cool, temperate climates with consistent moisture."
Dandelion greens,Dandelion greens prefer consistent soil moisture.,Dandelion greens require a moderate amount of nitrogen.,"Dandelion greens prefer well-drained, loose soil.","Dandelion greens prefer well-drained, fertile soil.",Dandelion greens prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Dandelion greens are typically planted in the spring or fall.,Dandelion greens are typically harvested when the leaves are young and tender.,"Dandelion greens prefer cool, temperate climates with consistent moisture"
Kale sprouts,Kale sprouts prefer consistent soil moisture.,Kale sprouts require a moderate amount of nitrogen.,"Kale sprouts prefer well-drained, loose soil.","Kale sprouts prefer well-drained, fertile soil.",Kale sprouts prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Kale sprouts are typically planted in the spring or fall.,Kale sprouts are typically harvested when the sprouts are young and tender.,"Kale sprouts prefer cool, temperate climates with consistent moisture."
Mizuna,Mizuna prefers consistent soil moisture.,Mizuna requires a moderate amount of nitrogen.,"Mizuna prefers well-drained, loose soil.","Mizuna prefers well-drained, fertile soil.",Mizuna prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Mizuna is typically planted in the spring or fall.,Mizuna is typically harvested when the leaves are young and tender.,"Mizuna prefers cool, temperate climates with consistent moisture."
Mustard greens,Mustard greens prefer consistent soil moisture.,Mustard greens require a moderate amount of nitrogen.,"Mustard greens prefer well-drained, loose soil.","Mustard greens prefer well-drained, fertile soil.",Mustard greens prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Mustard greens are typically planted in the spring or fall.,Mustard greens are typically harvested when the leaves are young and tender.,"Mustard greens prefer cool, temperate climates with consistent moisture."
Sorrel,Sorrel prefers consistent soil moisture.,Sorrel requires a moderate amount of nitrogen.,"Sorrel prefers well-drained, loose soil.","Sorrel prefers well-drained, fertile soil.",Sorrel prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Sorrel is typically planted in the spring or fall.,Sorrel is typically harvested when the leaves are young and tender.,"Sorrel prefers cool, temperate climates with consistent moisture."
Red cabbage,Red cabbage prefers consistent soil moisture.,Red cabbage requires a moderate amount of nitrogen.,"Red cabbage prefers well-drained, loose soil.","Red cabbage prefers well-drained, fertile soil.",Red cabbage prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Red cabbage is typically planted in the spring or fall.,Red cabbage is typically harvested when the heads are mature and firm.,"Red cabbage prefers cool, temperate climates with consistent moisture."
Savoy cabbage,Savoy cabbage prefers consistent soil moisture.,Savoy cabbage requires a moderate amount of nitrogen.,"Savoy cabbage prefers well-drained, loose soil.","Savoy cabbage prefers well-drained, fertile soil.",Savoy cabbage prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Savoy cabbage is typically planted in the spring or fall.,Savoy cabbage is typically harvested when the heads are mature and firm.,"Savoy cabbage prefers cool, temperate climates with consistent moisture."
Sugar snap peas,Sugar snap peas prefer consistent soil moisture.,Sugar snap peas require a moderate amount of nitrogen.,"Sugar snap peas prefer well-drained, loose soil.","Sugar snap peas prefer well-drained, fertile soil.",Sugar snap peas prefer cool soil temperatures between 55-70F (13-21C) for optimal growth.,Sugar snap peas are typically planted in the early spring.,Sugar snap peas are typically harvested when the pods are plump and before the peas inside become too large.,"Sugar snap peas prefer cool, temperate climates with consistent moisture."
Snow peas,Snow peas prefer consistent soil moisture.,Snow peas require a moderate amount of nitrogen.,"Snow peas prefer well-drained, loose soil.","Snow peas prefer well-drained, fertile soil.",Snow peas prefer cool soil temperatures between 55-70F (13-21C) for optimal growth.,Snow peas are typically planted in the early spring.,Snow peas are typically harvested when the pods are flat and the peas inside are small and tender.,"Snow peas prefer cool, temperate climates with consistent moisture."
Winged beans,Winged beans prefer consistent soil moisture.,Winged beans require a moderate amount of nitrogen.,"Winged beans prefer well-drained, loose soil.","Winged beans prefer well-drained, fertile soil.",Winged beans prefer warm soil temperatures between 70-85F (21-29C) for optimal growth.,Winged beans are typically planted in the spring or summer.,Winged beans are typically harvested when the pods are young and tender.,"Winged beans prefer warm, tropical climates with consistent moisture."
Celtuce,Celtuce prefers consistent soil moisture.,Celtuce requires a moderate amount of nitrogen.,"Celtuce prefers well-drained, loose soil.","Celtuce prefers well-drained, fertile soil.",Celtuce prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Celtuce is typically planted in the spring or fall.,Celtuce is typically harvested when the leaves are young and tender.,"Celtuce prefers cool, temperate climates with consistent moisture."
Kohlrabi greens,Kohlrabi greens prefer consistent soil moisture.,Kohlrabi greens require a moderate amount of nitrogen.,"Kohlrabi greens prefer well-drained, loose soil.","Kohlrabi greens prefer well-drained, fertile soil.",Kohlrabi greens prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Kohlrabi greens are typically planted in the spring or fall.,Kohlrabi greens are typically harvested when the leaves are young and tender.,"Kohlrabi greens prefer cool, temperate climates with consistent moisture."
Beet greens,Beet greens prefer consistent soil moisture.,Beet greens require a moderate amount of nitrogen.,"Beet greens prefer well-drained, loose soil.","Beet greens prefer well-drained, fertile soil.",Beet greens prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Beet greens are typically planted in the spring or fall.,Beet greens are typically harvested when the leaves are young and tender.,"Beet greens prefer cool, temperate climates with consistent moisture."
Cabbage sprouts,Cabbage sprouts prefer consistent soil moisture.,Cabbage sprouts require a moderate amount of nitrogen.,"Cabbage sprouts prefer well-drained, loose soil.","Cabbage sprouts prefer well-drained, fertile soil.",Cabbage sprouts prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Cabbage sprouts are typically planted in the spring or fall.,Cabbage sprouts are typically harvested when the sprouts are young and tender.,"Cabbage sprouts prefer cool, temperate climates with consistent moisture."
Garlic scapes,Garlic scapes prefer consistent soil moisture.,Garlic scapes require a moderate amount of nitrogen.,"Garlic scapes prefer well-drained, loose soil.","Garlic scapes prefer well-drained, fertile soil.",Garlic scapes prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Garlic scapes are typically planted in the fall.,Garlic scapes are typically harvested when they are young and tender.,"Garlic scapes prefer cool, temperate climates with consistent moisture."
Scallions,Scallions prefer consistent soil moisture.,Scallions require a moderate amount of nitrogen.,"Scallions prefer well-drained, loose soil.","Scallions prefer well-drained, fertile soil.",Scallions prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Scallions are typically planted in the spring or fall.,Scallions are typically harvested when the greens are young and tender.,"Scallions prefer cool, temperate climates with consistent moisture."
Leek greens,Leek greens prefer consistent soil moisture.,Leek greens require a moderate amount of nitrogen.,"Leek greens prefer well-drained, loose soil.","Leek greens prefer well-drained, fertile soil.",Leek greens prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Leek greens are typically planted in the spring or fall.,Leek greens are typically harvested when the greens are young and tender.,"Leek greens prefer cool, temperate climates with consistent moisture."
Red Russian kale,Red Russian kale prefers consistent soil moisture.,Red Russian kale requires a moderate amount of nitrogen.,"Red Russian kale prefers well-drained, loose soil.","Red Russian kale prefers well-drained, fertile soil.",Red Russian kale prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Red Russian kale is typically planted in the spring or fall.,Red Russian kale is typically harvested when the leaves are young and tender.,"Red Russian kale prefers cool, temperate climates with consistent moisture."
Lacinato kale,Lacinato kale prefers consistent soil moisture.,Lacinato kale requires a moderate amount of nitrogen.,"Lacinato kale prefers well-drained, loose soil.","Lacinato kale prefers well-drained, fertile soil.",Lacinato kale prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Lacinato kale is typically planted in the spring or fall.,Lacinato kale is typically harvested when the leaves are young and tender.,"Lacinato kale prefers cool, temperate climates with consistent moisture."
Radish greens,Radish greens prefer consistent soil moisture.,Radish greens require a moderate amount of nitrogen.,"Radish greens prefer well-drained, loose soil.","Radish greens prefer well-drained, fertile soil.",Radish greens prefer cool soil temperatures between 50-65F (10-18C) for optimal growth.,Radish greens are typically planted in the early spring or fall.,Radish greens are typically harvested when the leaves are young and tender.,"Radish greens prefer cool, temperate climates with consistent moisture."
Turnip greens,Turnip greens prefer consistent soil moisture.,Turnip greens require a moderate amount of nitrogen.,"Turnip greens prefer well-drained, loose soil.","Turnip greens prefer well-drained, fertile soil.",Turnip greens prefer cool soil temperatures between 50-65F (10-18C) for optimal growth.,Turnip greens are typically planted in the early spring or fall.,Turnip greens are typically harvested when the leaves are young and tender.,"Turnip greens prefer cool, temperate climates with consistent moisture."
Collard greens,Collard greens prefer consistent soil moisture.,Collard greens require a moderate amount of nitrogen.,"Collard greens prefer well-drained, loose soil.","Collard greens prefer well-drained, fertile soil.",Collard greens prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Collard greens are typically planted in the spring or fall.,Collard greens are typically harvested when the leaves are young and tender.,"Collard greens prefer cool, temperate climates with consistent moisture."
Broccolini,Broccolini prefers consistent soil moisture.,Broccolini requires a moderate amount of nitrogen.,"Broccolini prefers well-drained, loose soil.","Broccolini prefers well-drained, fertile soil.",Broccolini prefers cool soil temperatures between 60-65F (15-18C) for optimal growth.,Broccolini is typically planted in the spring or fall.,Broccolini is typically harvested when the florets are young and tender.,"Broccolini prefers cool, temperate climates with consistent moisture."
Microgreens,Microgreens prefer consistent soil moisture.,Microgreens require a moderate amount of nitrogen.,"Microgreens prefer well-drained, loose soil.","Microgreens prefer well-drained, fertile soil.",Microgreens prefer cool soil temperatures between 60-70F (15-21C) for optimal growth.,Microgreens can be grown year-round indoors.,Microgreens are typically harvested when they are small and tender.,Microgreens can be grown in any climate indoors.
Celery root,Celery root prefers consistently moist soil.,Celery root requires a moderate amount of nitrogen.,"Celery root prefers loose, well-drained soil.","Celery root prefers fertile, well-drained soil with a pH of 5.8-6.5.",Celery root prefers soil temperatures between 60-70F (15-21C) for optimal growth.,Celery root is typically planted in the spring or fall.,Celery root is typically harvested when the root is 2-3 inches in diameter.,"Celery root prefers cool, temperate climates with consistent moisture."
Chicory,Chicory prefers consistently moist soil.,Chicory requires a moderate amount of nitrogen.,"Chicory prefers loose, well-drained soil.","Chicory prefers fertile, well-drained soil with a pH of 5.8-6.5.",Chicory prefers soil temperatures between 60-70F (15-21C) for optimal growth.,Chicory is typically planted in the spring or fall.,Chicory is typically harvested when the leaves are young and tender.,"Chicory prefers cool, temperate climates with consistent moisture."
Eggplant,Eggplant prefers consistently moist soil.,Eggplant requires a moderate amount of nitrogen.,"Eggplant prefers loose, well-drained soil.","Eggplant prefers fertile, well-drained soil with a pH of 5.5-6.5.",Eggplant prefers warm soil temperatures between 70-85F (21-29C) for optimal growth.,Eggplant is typically planted after the last frost in the spring.,Eggplant is typically harvested when the fruit is firm and glossy.,"Eggplant prefers warm, humid climates with consistent moisture."
Fiddlehead ferns,Fiddlehead ferns prefer consistently moist soil.,Fiddlehead ferns require a moderate amount of nitrogen.,"Fiddlehead ferns prefer loose, well-drained soil.","Fiddlehead ferns prefer fertile, well-drained soil with a pH of 5.5-7.0.",Fiddlehead ferns prefer cool soil temperatures between 50-60F (10-15C) for optimal growth.,Fiddlehead ferns are typically harvested from wild plants in the spring.,Fiddlehead ferns are typically harvested when the fronds are curled and before they have unfurled.,"Fiddlehead ferns can be found in cool, temperate climates with consistent moisture."
Ginger root,Ginger root prefers consistently moist soil.,Ginger root requires a moderate amount of nitrogen.,"Ginger root prefers loose, well-drained soil.","Ginger root prefers fertile, well-drained soil with a pH of 6.0-6.5.",Ginger root prefers warm soil temperatures between 75-85F (24-29C) for optimal growth.,Ginger root is typically planted in the spring.,Ginger root is typically harvested after 8-10 months when the leaves have yellowed and the plant has died back.,"Ginger root prefers warm, humid climates with consistent moisture."
Jicama,Jicama prefers consistently moist soil.,Jicama requires a moderate amount of nitrogen.,"Jicama prefers loose, well-drained soil.","Jicama prefers fertile, well-drained soil with a pH of 6.0-7.5.",Jicama prefers warm soil temperatures between 75-85F (24-29C) for optimal growth.,Jicama is typically planted in the spring.,Jicama is typically harvested in the fall after the vines have died back.,"Jicama prefers warm, humid climates with consistent moisture."
Leeks,Leeks prefer consistently moist soil.,Leeks require a moderate amount of nitrogen.,"Leeks prefer loose, well-drained soil.","Leeks prefer fertile, well-drained soil with a pH of 6.0-7.0.",Leeks prefer cool soil temperatures between 60-65F (15-18C) for optimal growth.,Leeks are typically planted in the spring.,Leeks are typically harvested in the fall when the leaves have died back.,"Leeks prefer cool, temperate climates with consistent moisture."
Mushrooms,Mushrooms prefer consistently moist soil.,Mushrooms require a moderate amount of nitrogen.,"Mushrooms prefer loose, well-drained soil.","Mushrooms prefer fertile, organic-rich soil with a pH of 6.0-7.0.",Mushrooms prefer cool soil temperatures between 55-65F (13-18C) for optimal growth.,Mushrooms are typically grown indoors year-round.,Mushrooms are typically harvested when the caps have fully developed.,"Mushrooms can be grown in a controlled environment, regardless of climate."
Shallots,Shallots prefer consistently moist soil.,Shallots require a moderate amount of nitrogen.,"Shallots prefer loose, well-drained soil.","Shallots prefer fertile, well-drained soil with a pH of 6.0-7.0.",Shallots prefer cool soil temperatures between 50-75F (10-24C) for optimal growth.,Shallots are typically planted in the fall.,Shallots are typically harvested in the summer after the tops have died back.,"Shallots prefer cool, temperate climates with consistent moisture."
Sweet potatoes,Sweet potatoes prefer consistently moist soil.,Sweet potatoes require a moderate amount of nitrogen.,"Sweet potatoes prefer loose, well-drained soil.","Sweet potatoes prefer fertile, well-drained soil with a pH of 5.8-6.2.",Sweet potatoes prefer warm soil temperatures between 75-85F (24-29C) for optimal growth.,Sweet potatoes are typically planted in the spring.,Sweet potatoes are typically harvested in the fall after the vines have died back.,"Sweet potatoes prefer warm, humid climates with consistent moisture."
Zucchini,Zucchini prefers consistently moist soil.,Zucchini requires a moderate amount of nitrogen.,"Zucchini prefers loose, well-drained soil.","Zucchini prefers fertile, well-drained soil with a pH of 6.0-7.5.",Zucchini prefers warm soil temperatures between 70-95F (21-35C) for optimal growth.,Zucchini is typically planted after the last frost in the spring.,Zucchini is typically harvested when the fruit is small and tender.,"Zucchini prefers warm, sunny climates with consistent moisture."
